RECHTSTRÄGER;QUARTAL;BEKANNTGABE;LEERMELDUNG;MEDIUM_MEDIENINHABER;EURO
Aaron Kontor AT1 GmbH;20124;2;1;;
Aaron Kontor AT1 GmbH;20124;4;1;;
Abfall-Aufbereitungs GmbH;20124;2;1;;
Abfall-Aufbereitungs GmbH;20124;4;1;;
Abfallbehandlung Ahrental GmbH;20124;2;1;;
Abfallbehandlung Ahrental GmbH;20124;4;1;;
"Abfallbehandlung und -verwertung ""Am Ziegelofen"" GmbH";20124;2;1;;
"Abfallbehandlung und -verwertung ""Am Ziegelofen"" GmbH";20124;4;1;;
Abfallbeseitigungsverband Innsbruck-Land;20124;2;1;;
Abfallbeseitigungsverband Innsbruck-Land;20124;4;1;;
Abfallbeseitigungsverband Mittleres Unterinntal;20124;2;1;;
Abfallbeseitigungsverband Mittleres Unterinntal;20124;4;1;;
Abfallbeseitigungsverband Seefelder Plateau (Region 10);20124;2;1;;
Abfallbeseitigungsverband Seefelder Plateau (Region 10);20124;4;1;;
Abfallbeseitigungsverband südöstliches Mittelgebirge;20124;2;1;;
Abfallbeseitigungsverband südöstliches Mittelgebirge;20124;4;1;;
Abfallbeseitigungsverband Westtirol;20124;2;1;;
Abfallbeseitigungsverband Westtirol;20124;4;1;;
Abfallentsorgungsverband Kufstein;20124;2;1;;
Abfallentsorgungsverband Kufstein;20124;4;1;;
Abfallverband Großraum Salzburg;20124;2;1;;
Abfallverband Großraum Salzburg;20124;4;1;;
Abfallverband Pinzgau;20124;2;1;;
Abfallverband Pinzgau;20124;4;1;;
Abfallwirtschaft Tirol-Mitte Ges.mbH.;20124;2;0;Bezirksblätter Tirol (ausgenommen Kitzbühel, Kufstein, Schwaz, inkl Stadtblatt);8122,32
Abfallwirtschaft Tirol-Mitte Ges.mbH.;20124;4;1;;
Abfallwirtschaftsverband Bezirk Kitzbühel;20124;2;1;;
Abfallwirtschaftsverband Bezirk Kitzbühel;20124;4;1;;
Abfallwirtschaftsverband Bezirk Reutte;20124;2;1;;
Abfallwirtschaftsverband Bezirk Reutte;20124;4;1;;
Abfallwirtschaftsverband Deutschlandsberg;20124;2;1;;
Abfallwirtschaftsverband Deutschlandsberg;20124;4;1;;
Abfallwirtschaftsverband Feldbach;20124;2;1;;
Abfallwirtschaftsverband Feldbach;20124;4;1;;
Abfallwirtschaftsverband Fürstenfeld;20124;2;1;;
Abfallwirtschaftsverband Fürstenfeld;20124;4;1;;
Abfallwirtschaftsverband Graz-Umgebung;20124;2;1;;
Abfallwirtschaftsverband Graz-Umgebung;20124;4;1;;
Abfallwirtschaftsverband Hartberg;20124;2;1;;
Abfallwirtschaftsverband Hartberg;20124;4;1;;
Abfallwirtschaftsverband Judenburg;20124;2;1;;
Abfallwirtschaftsverband Judenburg;20124;4;1;;
Abfallwirtschaftsverband Klagenfurt;20124;2;1;;
Abfallwirtschaftsverband Klagenfurt;20124;4;1;;
Abfallwirtschaftsverband Knittelfeld;20124;2;1;;
Abfallwirtschaftsverband Knittelfeld;20124;4;1;;
Abfallwirtschaftsverband Korneuburg;20124;2;1;;
Abfallwirtschaftsverband Korneuburg;20124;4;1;;
Abfallwirtschaftsverband Lavanttal;20124;2;1;;
Abfallwirtschaftsverband Lavanttal;20124;4;1;;
Abfallwirtschaftsverband Leibnitz;20124;2;1;;
Abfallwirtschaftsverband Leibnitz;20124;4;1;;
Abfallwirtschaftsverband Leoben;20124;2;1;;
Abfallwirtschaftsverband Leoben;20124;4;1;;
Abfallwirtschaftsverband Liezen;20124;2;1;;
Abfallwirtschaftsverband Liezen;20124;4;1;;
Abfallwirtschaftsverband Lungau;20124;2;1;;
Abfallwirtschaftsverband Lungau;20124;4;1;;
Abfallwirtschaftsverband Murau;20124;2;1;;
Abfallwirtschaftsverband Murau;20124;4;1;;
Abfallwirtschaftsverband Mürzverband;20124;2;1;;
Abfallwirtschaftsverband Mürzverband;20124;4;1;;
Abfallwirtschaftsverband Neunkirchen;20124;2;1;;
Abfallwirtschaftsverband Neunkirchen;20124;4;1;;
Abfallwirtschaftsverband Osttirol;20124;2;1;;
Abfallwirtschaftsverband Osttirol;20124;4;1;;
Abfallwirtschaftsverband Pongau;20124;2;1;;
Abfallwirtschaftsverband Pongau;20124;4;1;;
Abfallwirtschaftsverband Radkersburg;20124;2;1;;
Abfallwirtschaftsverband Radkersburg;20124;4;1;;
Abfallwirtschaftsverband Schladming;20124;2;1;;
Abfallwirtschaftsverband Schladming;20124;4;1;;
Abfallwirtschaftsverband Spittal/Drau;20124;2;1;;
Abfallwirtschaftsverband Spittal/Drau;20124;4;1;;
Abfallwirtschaftsverband Unterland;20124;2;1;;
Abfallwirtschaftsverband Unterland;20124;4;1;;
Abfallwirtschaftsverband Villach;20124;2;1;;
Abfallwirtschaftsverband Villach;20124;4;1;;
Abfallwirtschaftsverband Voitsberg;20124;2;1;;
Abfallwirtschaftsverband Voitsberg;20124;4;1;;
Abfallwirtschaftsverband Völkermarkt-St. Veit/Glan;20124;2;1;;
Abfallwirtschaftsverband Völkermarkt-St. Veit/Glan;20124;4;1;;
Abfallwirtschaftsverband Weiz;20124;2;1;;
Abfallwirtschaftsverband Weiz;20124;4;1;;
Abfallwirtschaftsverband Westkärnten;20124;2;1;;
Abfallwirtschaftsverband Westkärnten;20124;4;1;;
Abfallwirtschaftsverband Wiener Neustadt;20124;2;1;;
Abfallwirtschaftsverband Wiener Neustadt;20124;4;1;;
Abgabeneinhebungsverband Scheibbs;20124;2;1;;
Abgabeneinhebungsverband Scheibbs;20124;4;1;;
Abgabenprüfungsverband Bezirk Kitzbühel mit Sitz in Fieberbrunn;20124;2;1;;
Abgabenprüfungsverband Bezirk Kitzbühel mit Sitz in Fieberbrunn;20124;4;1;;
ABL Abfallbehandlung Lavant GmbH;20124;2;1;;
ABL Abfallbehandlung Lavant GmbH;20124;4;1;;
Abwasser- und Abfallverband Großache-Süd;20124;2;1;;
Abwasser- und Abfallverband Großache-Süd;20124;4;1;;
Abwasser- und Bioabfallverwertungsverband Ehrwald-Lermoos-Biberwier;20124;2;1;;
Abwasser- und Bioabfallverwertungsverband Ehrwald-Lermoos-Biberwier;20124;4;1;;
Abwasserbeseitigung Altenmarkt an der Triesting - Kaumberg;20124;2;1;;
Abwasserbeseitigung Altenmarkt an der Triesting - Kaumberg;20124;4;1;;
Abwasserbeseitigungsverband Goldeck;20124;2;1;;
Abwasserbeseitigungsverband Goldeck;20124;4;1;;
Abwasserreinigung Region Dornbirn-Schwarzach, Gesellschaft m.b.H.;20124;2;1;;
Abwasserreinigung Region Dornbirn-Schwarzach, Gesellschaft m.b.H.;20124;4;1;;
Abwasserveband Wörgl-Kirchbichl und Umgebung;20124;2;1;;
Abwasserveband Wörgl-Kirchbichl und Umgebung;20124;4;1;;
Abwasserverband Achental-Inntal-Zillertal;20124;2;1;;
Abwasserverband Achental-Inntal-Zillertal;20124;4;1;;
Abwasserverband Ager-West;20124;2;1;;
Abwasserverband Ager-West;20124;4;1;;
Abwasserverband AMAL;20124;2;1;;
Abwasserverband AMAL;20124;4;1;;
Abwasserverband An der Traisen;20124;2;1;;
Abwasserverband An der Traisen;20124;4;1;;
Abwasserverband Anzbach - Laabental;20124;2;1;;
Abwasserverband Anzbach - Laabental;20124;4;1;;
Abwasserverband Aurachtal;20124;2;1;;
Abwasserverband Aurachtal;20124;4;1;;
Abwasserverband Bezirk Jennersdorf;20124;2;1;;
Abwasserverband Bezirk Jennersdorf;20124;4;1;;
Abwasserverband Bierbaum;20124;2;1;;
Abwasserverband Bierbaum;20124;4;1;;
Abwasserverband Brixlegg und Umgebung;20124;2;1;;
Abwasserverband Brixlegg und Umgebung;20124;4;1;;
Abwasserverband der Gemeinden Bruck an der Mur und Oberaich;20124;2;1;;
Abwasserverband der Gemeinden Bruck an der Mur und Oberaich;20124;4;1;;
Abwasserverband Eibiswald und Umgebung;20124;2;1;;
Abwasserverband Eibiswald und Umgebung;20124;4;1;;
Abwasserverband Einzugsbereich Thörlbach;20124;2;1;;
Abwasserverband Einzugsbereich Thörlbach;20124;4;1;;
Abwasserverband Eisbach-Gratwein-Judendorf-Straßengel;20124;2;1;;
Abwasserverband Eisbach-Gratwein-Judendorf-Straßengel;20124;4;1;;
Abwasserverband Eisenstadt-Eisbachtal;20124;2;1;;
Abwasserverband Eisenstadt-Eisbachtal;20124;4;1;;
Abwasserverband Faaker See;20124;2;1;;
Abwasserverband Faaker See;20124;4;1;;
Abwasserverband Feldbach-Mittleres Raabtal;20124;2;1;;
Abwasserverband Feldbach-Mittleres Raabtal;20124;4;1;;
Abwasserverband Fieberbrunn, Hochfilzen, St. Jakob in Haus;20124;2;1;;
Abwasserverband Fieberbrunn, Hochfilzen, St. Jakob in Haus;20124;4;1;;
